index,character count,word count
802,100,19
803,269,49
804,83,16
805,111,20
806,19,3
807,18,4
808,9,2
809,42,7
810,85,16
811,29,6
812,75,13
813,35,5
814,132,18
815,125,18
816,151,25
817,82,13
818,427,72
819,48,8
820,253,43
821,114,22
822,23,4
823,3,1
824,211,39
825,88,14
826,98,21
827,99,17
828,20,2
829,170,28
830,27,6
831,96,20
832,155,31
833,120,20
834,99,16
835,41,7
836,148,22
837,44,9
838,16,3
839,315,54
840,102,20
841,187,29
842,85,16
843,16,1
844,0,1
845,0,1
846,93,17
847,212,37
848,168,28
849,98,15
850,193,32
851,447,75
852,305,54
853,658,118
854,321,63
855,20,4
856,391,73
857,284,48
858,275,43
859,54,10
860,89,14
861,16,1
862,0,1
863,0,1
864,68,12
865,22,4
866,76,13
867,74,13
868,120,23
869,73,14
870,104,19
871,159,29
872,119,21
873,100,19
874,113,17
875,29,8
876,21,3
877,141,25
878,265,47
879,26,4
880,202,35
881,117,22
882,88,17
883,159,27
884,234,39
885,248,45
886,75,15
887,46,8
888,190,38
889,63,10
890,35,6
891,145,26
892,59,11
893,42,8
894,17,4
895,37,6
896,165,28
897,343,59
898,23,5
899,67,12
900,70,13
901,69,12
902,169,27
903,29,6
904,98,16
905,178,32
906,268,48
907,42,8
908,61,11
909,91,16
910,43,10
911,26,5
912,45,9
913,29,6
914,154,27
915,62,11
916,42,7
917,250,45
918,41,9
919,78,10
920,114,21
921,32,5
922,58,11
923,83,13
924,161,29
925,35,8
926,92,15
927,68,12
928,27,7
929,70,13
930,15,4
931,122,20
932,105,21
933,42,7
934,161,28
935,66,13
936,34,7
937,89,17
938,73,13
939,37,7
940,21,5
941,24,5
942,82,14
943,48,9
944,30,7
945,47,7
946,22,4
947,18,2
948,51,12
949,30,7
950,28,6
951,42,7
952,196,31
953,148,28
954,16,2
955,49,9
956,61,12
957,32,8
958,140,26
959,30,4
960,22,4
961,15,3
962,272,43
963,24,5
964,26,5
965,59,11
966,26,4
967,23,4
968,70,13
969,16,3
970,126,24
971,322,49
972,230,43
973,409,73
974,27,6
975,66,14
976,78,18
977,71,12
978,108,21
979,138,23
980,39,7
981,34,6
982,16,4
983,57,12
984,38,8
985,32,4
986,16,4
987,146,26
988,26,5
989,32,6
990,82,13
991,52,10
992,31,7
993,11,3
994,138,28
995,36,7
996,20,3
997,35,6
998,11,3
999,23,5
1000,23,5
1001,16,1
1002,0,1
1003,0,1
1004,37,7
1005,22,5
1006,26,5
1007,42,10
1008,435,71
1009,24,4
1010,81,14
1011,49,10
1012,276,53
1013,26,4
1014,52,9
1015,164,30
1016,22,4
1017,230,43
1018,21,5
1019,12,2
1020,119,21
1021,51,10
1022,7,2
1023,140,30
1024,140,23
1025,4,1
1026,33,6
1027,104,21
1028,194,41
1029,95,20
1030,35,7
1031,48,10
1032,44,8
1033,25,6
1034,45,10
1035,84,15
1036,34,6
1037,52,9
1038,25,5
1039,73,16
1040,35,8
1041,73,15
1042,145,26
1043,288,59
1044,58,8
1045,151,28
1046,55,10
1047,42,9
1048,44,9
1049,111,23
1050,121,20
1051,25,5
1052,126,20
1053,60,10
1054,28,6
1055,18,4
1056,89,17
1057,56,11
1058,170,34
1059,46,10
1060,37,8
1061,42,10
1062,19,4
1063,60,10
1064,435,80
1065,25,5
1066,72,12
1067,335,57
1068,138,26
1069,25,6
1070,28,6
1071,51,11
1072,29,6
1073,50,6
1074,36,6
1075,85,14
1076,79,15
1077,91,16
1078,59,9
1079,60,11
1080,38,9
1081,46,9
1082,89,14
1083,42,10
1084,30,5
1085,74,13
1086,46,8
1087,505,92
1088,62,10
1089,131,24
1090,17,3
1091,79,16
1092,73,15
1093,59,13
1094,20,5
1095,443,79
1096,62,15
1097,66,12
1098,45,8
1099,27,4
1100,57,11
1101,31,6
1102,159,26
1103,65,14
1104,516,95
1105,22,3
1106,25,5
1107,270,49
1108,7,2
1109,35,6
1110,56,10
1111,77,15
1112,47,8
1113,36,8
1114,23,4
1115,47,9
1116,12,3
1117,52,12
1118,533,97
1119,72,14
1120,49,8
1121,143,27
1122,36,5
1123,19,4
1124,57,11
1125,23,5
1126,91,14
1127,92,18
1128,62,12
1129,98,16
1130,225,45
1131,234,43
1132,174,26
1133,64,10
1134,195,38
1135,63,13
1136,263,45
1137,200,34
1138,37,7
1139,26,4
1140,76,11
1141,23,3
1142,27,3
1143,108,18
1144,106,16
1145,83,17
1146,214,36
1147,68,14
1148,82,15
1149,71,12
1150,149,29
1151,32,8
1152,117,20
1153,186,32
1154,176,33
1155,128,15
1156,55,12
1157,101,16
1158,42,7
1159,23,4
1160,14,2
1161,26,2
1162,33,6
1163,54,10
1164,28,7
1165,56,11
1166,160,28
1167,29,6
1168,127,23
1169,46,9
1170,270,44
1171,174,28
1172,115,21
1173,148,25
1174,57,12
1175,61,12
1176,46,8
1177,69,12
1178,57,7
1179,30,5
1180,10,1
1181,45,8
1182,9,2
1183,33,5
1184,169,32
1185,113,20
1186,34,9
1187,155,21
1188,198,30
1189,23,4
1190,22,5
1191,309,51
1192,201,36
1193,41,8
1194,71,13
1195,25,4
1196,70,9
1197,46,9
1198,75,14
1199,237,44
1200,315,60
1201,45,7
1202,37,7
1203,98,21
1204,177,30
1205,67,12
1206,292,56
1207,64,12
1208,30,7
1209,83,17
1210,53,10
1211,50,9
1212,222,37
1213,66,13
1214,10,1
1215,74,15
1216,158,30
1217,51,10
1218,598,104
1219,32,6
1220,37,7
1221,51,10
1222,36,7
1223,226,39
1224,101,22
1225,34,6
1226,170,28
1227,10,3
1228,36,9
1229,373,67
1230,175,36
1231,485,84
1232,174,32
1233,83,17
1234,192,33
1235,96,18
1236,156,30
1237,136,26
1238,74,14
1239,104,22
1240,65,10
1241,107,17
1242,339,57
1243,607,110
1244,227,41
1245,66,9
1246,228,42
1247,173,32
1248,40,7
1249,175,33
1250,109,21
1251,34,4
1252,161,35
1253,420,69
1254,221,40
1255,426,81
1256,97,16
1257,17,5
1258,338,57
1259,126,24
1260,116,22
1261,15,3
1262,238,45
1263,82,15
1264,134,25
1265,123,22
1266,121,21
1267,234,41
1268,226,42
1269,104,16
1270,39,7
1271,53,10
1272,162,26
1273,262,51
1274,122,22
1275,240,45
1276,76,12
1277,40,9
1278,33,7
1279,114,24
1280,187,31
1281,15,5
1282,20,5
1283,308,57
1284,15,5
1285,19,5
1286,53,10
1287,925,168
1288,493,82
1289,369,70
1290,958,167
1291,15,5
1292,79,14
1293,19,4
1294,26,6
1295,129,24
1296,33,7
1297,207,37
1298,47,9
1299,385,71
1300,106,19
1301,131,23
1302,43,8
1303,295,54
1304,701,129
1305,709,124
1306,580,107
1307,181,28
1308,168,29
1309,514,87
1310,21,5
1311,339,61
1312,215,38
1313,431,73
1314,939,155
1315,42,8
1316,149,27
1317,220,36
1318,251,44
1319,94,17
1320,361,60
1321,22,5
1322,14,3
1323,135,23
1324,18,4
1325,26,5
1326,41,6
1327,274,49
1328,134,24
1329,17,4
1330,365,64
1331,113,19
1332,36,8
1333,49,9
1334,35,7
1335,60,11
1336,211,40
1337,79,15
1338,104,20
1339,457,66
1340,66,10
1341,37,8
1342,76,13
1343,46,10
1344,131,20
1345,41,9
1346,110,19
1347,253,46
1348,39,7
1349,22,5
1350,213,36
1351,167,28
1352,72,12
1353,42,9
1354,112,22
1355,58,9
1356,36,6
1357,95,12
1358,125,20
1359,76,14
1360,103,16
1361,14,3
1362,31,4
1363,42,8
1364,71,13
1365,75,12
1366,100,17
1367,55,9
1368,58,11
1369,39,7
1370,33,6
1371,118,22
1372,117,20
1373,24,6
1374,43,9
1375,67,12
1376,34,6
1377,34,5
1378,10,2
1379,48,9
1380,176,29
1381,105,21
1382,158,28
1383,18,4
1384,69,11
1385,22,4
1386,37,6
1387,401,60
1388,81,15
1389,376,61
1390,20,5
1391,69,13
1392,43,9
1393,41,8
1394,52,10
1395,116,21
1396,20,4
1397,157,28
1398,151,24
1399,54,10
1400,23,5
1401,34,6
1402,20,5
1403,44,8
1404,22,4
1405,53,9
1406,17,4
1407,32,8
1408,13,2
1409,64,14
1410,47,11
1411,76,15
1412,150,26
1413,81,13
1414,139,26
1415,461,86
1416,55,11
1417,20,4
1418,179,25
1419,129,24
1420,102,18
1421,57,9
1422,68,8
1423,198,40
1424,78,16
1425,60,11
1426,13,3
1427,33,5
1428,208,37
1429,92,17
1430,56,11
1431,43,9
1432,61,12
1433,145,25
1434,131,26
1435,83,13
1436,17,4
1437,40,7
1438,82,16
1439,16,4
1440,111,17
1441,34,6
1442,29,7
1443,32,6
1444,36,8
1445,93,18
1446,75,12
1447,46,9
1448,155,28
1449,49,10
1450,201,37
1451,65,13
1452,204,38
1453,80,14
1454,36,7
1455,18,3
1456,23,5
1457,25,4
1458,96,18
1459,54,11
1460,19,4
1461,24,3
1462,175,33
1463,71,16
1464,65,11
1465,140,27
1466,82,9
1467,94,16
1468,36,7
1469,30,6
1470,21,4
1471,10,2
1472,83,14
1473,80,16
1474,91,16
1475,200,38
1476,368,65
1477,40,7
1478,101,18
1479,40,7
1480,370,65
1481,201,36
1482,1067,178
1483,39,7
1484,681,112
1485,164,32
1486,225,35
1487,42,8
1488,10,2
1489,27,4
1490,33,6
1491,35,5
1492,19,3
1493,44,9
1494,23,3
1495,47,8
